emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
military officer captain,10,GA,RENT,145000,Verified,14.66,155000,Source Verified,14.98,0,38,2003,0,29,11,206996,61746,0,0,47,0,0,3,4,23,11,0,0,4,11000,10,5,4,3,72.4,0,0,debt_consolidation,joint,40000,36,6.72,1229.97,A,A3,Feb-18,Current,whole,Cash,35942.19,4890.01,4057.81,832.2,0
home equity specialist ,10,PA,RENT,42000,Not Verified,9.91,NA,,NA,0,35,1996,0,21,10,50600,11048,0,0,NA,0,0,0,2,NA,10,0,0,5,46500,18,10,7,0,95.2,0,0,debt_consolidation,individual,7200,36,7.34,223.44,A,A4,Mar-18,Current,whole,Cash,6840.1,443.94,359.9,84.04,0
,NA,NY,OWN,42000,Verified,14.4,NA,,NA,0,NA,2004,2,5,3,18785,15755,0,0,NA,0,0,1,1,9,3,0,0,2,6000,2,2,2,0,100,0,0,other,individual,10000,60,21.45,273.08,D,D5,Feb-18,Current,whole,Cash,9612.44,1080.4,387.56,692.84,0
field operations supervisor,2,IL,MORTGAGE,80000,Not Verified,9.92,NA,,NA,0,45,2003,3,29,11,322553,20241,0,0,45,0,0,1,9,4,11,0,0,3,25100,17,9,5,7,92.9,0,0,credit_card,individual,12000,36,6.71,368.94,A,A3,Mar-18,Current,whole,DirectPay,11089.41,1102.35,910.59,191.76,0
hvac mechanic,7,FL,MORTGAGE,60000,Source Verified,27.06,NA,,NA,0,77,2004,2,23,13,94036,44347,0,1,NA,0,0,3,4,11,13,0,0,3,17400,16,10,5,0,95.7,0,1,debt_consolidation,individual,10000,36,11.99,332.1,B,B5,Jan-18,Current,whole,Cash,8815.65,1703.8,1184.35,519.45,0
engineer assistant ,0,CA,RENT,50000,Source Verified,13.3,NA,,NA,4,12,2008,1,21,13,31300,15584,0,0,66,0,0,3,1,8,13,0,0,5,16100,15,10,6,0,68.4,0,0,credit_card,individual,10000,36,13.59,339.79,C,C2,Feb-18,Current,whole,Cash,9078.33,1351.61,921.67,429.94,0
,NA,TX,MORTGAGE,65000,Not Verified,10.62,NA,,NA,0,29,1998,1,28,13,168410,25122,0,0,NA,0,0,0,1,6,13,0,0,4,59500,21,12,5,3,92.6,0,0,debt_consolidation,individual,25000,60,9.92,530.2,B,B2,Mar-18,Current,whole,Cash,24350.26,1046.62,649.74,396.88,0
office manager/ bookkeeper,10,FL,OWN,85000,Not Verified,26.49,NA,,NA,0,NA,1995,0,28,20,117100,53291,0,0,NA,0,0,1,4,NA,20,0,0,9,70400,24,19,10,1,100,0,0,credit_card,individual,25000,36,6.72,768.74,A,A3,Feb-18,Fully Paid,whole,Cash,0,25477.71419,25000,477.71,0
,NA,NC,RENT,44088,Not Verified,27.93,NA,,NA,0,NA,1992,1,32,18,71174,37694,0,1,NA,0,0,2,8,5,18,0,0,6,19100,30,16,11,0,100,0,1,debt_consolidation,individual,10000,36,13.59,339.79,C,C2,Feb-18,Current,fractional,Cash,9078.33,1351.61,921.67,429.94,0
finance manager,1,FL,RENT,69000,Not Verified,27.74,NA,,NA,0,63,2008,5,23,16,95775,48638,0,0,NA,0,0,4,11,1,16,0,0,6,26500,14,12,8,0,95.7,0,0,debt_consolidation,individual,10000,36,19.42,368.69,D,D3,Feb-18,Fully Paid,fractional,Cash,0,10447.78098,10000,447.78,0
maintenance director,8,AR,OWN,90000,Verified,39.63,180000,Verified,24.07,0,NA,2010,7,18,10,168002,136103,0,2,NA,0,0,3,5,2,10,0,0,2,8000,8,7,6,0,100,1,1,credit_card,joint,24000,36,12.61,804.16,C,C1,Mar-18,Current,fractional,Cash,22326.66,2426.96,1673.34,753.62,0
microbiology labratory security,0,CA,OWN,27000,Not Verified,2.54,NA,,NA,0,NA,1999,0,5,3,15600,1364,0,0,NA,0,0,0,0,NA,3,0,0,2,15000,3,3,2,0,100,0,0,other,individual,3600,36,6.72,110.7,A,A3,Jan-18,Current,fractional,Cash,3142.2,552.16,457.8,94.36,0
medical secretary ,6,NJ,MORTGAGE,45000,Source Verified,23.92,185000,Not Verified,12.38,2,19,1988,0,18,12,360202,82200,0,0,19,0,0,2,3,NA,12,0,0,4,8300,11,9,9,2,76.5,0,0,debt_consolidation,joint,8000,36,15.05,277.52,C,C4,Jan-18,Current,fractional,Cash,7091.56,1380.91,908.44,472.47,0
research programmer / analyst,2,NC,RENT,100000,Source Verified,27.71,NA,,NA,0,29,1986,4,38,17,130869,51510,0,0,64,0,0,5,3,9,17,0,0,4,49300,30,12,5,1,89.5,0,0,debt_consolidation,individual,35000,36,10.42,1136.27,B,B3,Jan-18,Current,whole,Cash,29736.97,6640.83,5263.03,1377.8,0
accountant,5,NY,RENT,60000,Not Verified,9.24,NA,,NA,0,33,2011,0,15,7,27540,8770,0,0,NA,0,0,1,0,NA,7,0,0,3,16200,13,6,4,0,93.3,0,0,debt_consolidation,individual,10000,36,14.08,342.17,C,C3,Feb-18,Current,fractional,Cash,9084.7,1353.04,915.3,437.74,0
cashier,3,WA,RENT,25000,Not Verified,14.31,NA,,NA,0,25,1998,1,24,14,33000,6979,0,1,NA,0,0,1,3,7,14,0,0,4,18200,21,13,6,0,95.7,0,1,debt_consolidation,individual,5000,36,7.35,155.19,A,A4,Jan-18,Current,whole,Cash,4369.5,771.87,630.5,141.37,0
owner,10,GA,RENT,74000,Not Verified,14.39,NA,,NA,0,NA,2006,1,17,11,90000,29504,0,0,NA,0,0,1,3,0,11,0,0,3,56200,11,10,5,0,100,0,0,small_business,individual,28125,60,12.62,634.48,C,C1,Jan-18,Current,whole,Cash,26395.51,3132.96,1729.49,1403.47,0
contract specialist ,10,MD,RENT,119568,Verified,22.04,NA,,NA,0,NA,2006,1,21,16,101559,70239,0,0,NA,0,0,4,7,2,16,0,0,5,9400,14,12,11,0,100,0,0,debt_consolidation,individual,10000,36,15.04,346.85,C,C4,Mar-18,Current,whole,Cash,9327.09,1023.84,672.91,350.93,0
services coordinator,2,ME,RENT,44000,Verified,12.9,NA,,NA,0,79,2004,2,18,12,269361,46789,0,1,79,0,0,10,4,6,11,0,0,1,2900,4,1,1,1,94.4,0,1,major_purchase,individual,5000,36,6.71,153.73,A,A3,Mar-18,Current,whole,Cash,4620.57,459.33,379.43,79.9,0
teacher,10,NM,RENT,90000,Not Verified,16.31,NA,,NA,0,66,1991,4,28,12,79813,50734,0,1,66,0,0,5,7,7,12,0,0,4,17200,12,7,6,0,96.3,0,1,debt_consolidation,individual,7000,36,10.41,227.23,B,B3,Feb-18,Current,whole,Cash,6496.14,677.64,503.86,173.78,0
cook,4,NY,RENT,35000,Source Verified,9.09,NA,,NA,0,NA,2006,4,10,6,19023,6155,0,0,NA,0,787,1,3,1,6,0,0,1,1300,9,5,2,0,100,0,0,debt_consolidation,individual,6000,36,12.61,201.04,C,C1,Mar-18,Current,whole,Cash,5581.66,598.92,418.34,180.58,0
residential coordinator,1,NJ,OWN,33000,Not Verified,20.58,NA,,NA,0,58,1974,1,22,10,43680,9854,0,1,58,0,0,4,6,2,10,0,0,3,16500,10,6,3,0,63.6,0,1,credit_card,individual,1950,36,9.43,62.41,B,B1,Mar-18,Current,whole,Cash,1855.46,123.8,94.54,29.26,0
rn,0,CO,RENT,24000,Verified,1.25,NA,,NA,0,NA,2004,1,22,16,56150,62410,0,1,NA,0,8508,15,3,6,16,0,0,1,800,4,1,1,0,100,0,1,other,individual,1000,36,22.91,38.67,E,E1,Jan-18,Current,fractional,Cash,407.83,659.08,592.17,66.91,0
manager,10,DE,MORTGAGE,100000,Not Verified,38.45,137000,Not Verified,28.11,0,NA,2007,5,63,38,633688,238418,0,0,NA,0,0,5,21,2,38,0,0,10,171200,37,32,11,2,100,0,0,credit_card,joint,40000,60,21.45,1092.29,D,D5,Feb-18,Current,whole,Cash,38847.77,3467.54,1152.23,2315.31,0
cashier ,0,UT,RENT,17000,Source Verified,5.44,NA,,NA,0,63,2012,2,5,4,7000,841,0,0,63,0,0,0,4,3,4,0,0,2,6000,4,4,3,0,80,0,0,other,individual,2800,36,19.03,102.68,D,D3,Jan-18,Current,whole,Cash,2499.22,508.97,300.78,208.19,0
administrator,10,TX,MORTGAGE,89000,Source Verified,38.98,NA,,NA,0,NA,1999,0,46,28,202173,135598,0,0,NA,0,0,14,5,NA,28,0,0,9,83700,16,14,12,0,100,0,0,debt_consolidation,individual,32400,36,10.91,1059.36,B,B4,Jan-18,Current,whole,DirectPay,28505.88,5277.16,3894.12,1383.04,0
,NA,FL,MORTGAGE,13800,Verified,128.61,52800,Verified,34.23,0,NA,1996,0,13,10,217328,60586,0,0,NA,0,0,2,3,14,10,0,0,2,48200,8,7,3,1,100,0,0,home_improvement,joint,3600,36,19.03,132.02,D,D3,Jan-18,Current,fractional,Cash,3213.28,652.49,386.72,265.77,0
registered nurse,0,MO,MORTGAGE,60000,Source Verified,17.58,NA,,NA,0,34,1995,1,28,10,256640,66507,0,0,34,0,0,3,5,3,10,0,0,2,15100,14,5,4,2,85.7,0,0,debt_consolidation,individual,8300,36,13.59,282.03,C,C2,Jan-18,Current,whole,Cash,7534.99,1153.19,765.01,388.18,0
engineer tech,6,MI,MORTGAGE,62000,Source Verified,16.82,NA,,NA,0,35,1994,0,21,9,241400,32794,0,0,NA,0,0,0,1,NA,9,0,0,4,58600,17,8,6,2,95.2,0,0,credit_card,individual,24000,60,9.43,503.23,B,B1,Feb-18,Current,whole,Cash,23048.67,1497.12,951.33,545.79,0
claims examiner ii,1,CA,OWN,76000,Source Verified,18.08,NA,,NA,2,11,1991,4,12,5,43606,30867,0,0,NA,0,0,3,1,12,4,0,0,1,1500,6,2,2,0,83.3,0,0,debt_consolidation,individual,12000,60,21.85,330.41,D,D5,Mar-18,Current,whole,Cash,11774.14,732.71,225.86,506.85,0
owner,10,VA,MORTGAGE,12000,Verified,204.13,152000,,27.27,0,NA,1992,1,19,13,406818,86236,0,0,NA,0,0,2,5,5,13,0,0,6,57300,14,10,9,3,100,0,0,debt_consolidation,joint,29000,60,7.35,579.04,A,A4,Jan-18,Current,whole,DirectPay,26968.19,2871.52,2031.81,839.71,0
welder/fabricator,8,GA,OWN,50960,Not Verified,6.88,NA,,NA,0,NA,2012,0,10,8,177546,8248,0,1,NA,0,0,0,4,23,8,0,0,4,16500,7,7,5,2,100,0,1,other,individual,10000,36,7.97,313.23,A,A5,Jan-18,Current,whole,Cash,8749.43,1561.72,1250.57,311.15,0
firefighter,1,CT,RENT,50000,Source Verified,23.97,NA,,NA,0,NA,2006,0,23,11,40505,32000,0,0,NA,0,0,2,2,13,11,0,0,6,26900,14,8,7,0,100,0,0,debt_consolidation,individual,25000,60,30.79,821.01,G,G1,Feb-18,Current,whole,Cash,24253.68,3198.51,746.32,2452.19,0
owner,9,FL,OWN,150000,Verified,4.66,NA,,NA,0,NA,2010,1,5,5,18523,11676,0,1,NA,0,0,1,2,4,5,0,0,3,7200,3,3,3,0,100,1,0,debt_consolidation,individual,12000,36,10.42,389.58,B,B3,Jan-18,Current,fractional,Cash,10548.1,1934.01,1451.9,482.11,0
legal advisor,3,VA,RENT,77000,Source Verified,24.06,NA,,NA,0,NA,2009,3,18,13,118301,59821,0,0,NA,0,0,2,6,5,13,0,0,9,81900,15,11,9,0,100,0,0,credit_card,individual,18000,36,10.42,584.37,B,B3,Feb-18,Current,fractional,Cash,16265.29,2316.64,1734.71,581.93,0
accountant ,0,CO,MORTGAGE,55000,Not Verified,23.88,99000,Not Verified,21.68,0,NA,2007,0,22,10,50324,34535,0,0,NA,0,0,0,2,NA,10,0,0,4,33600,10,7,5,0,95,0,0,debt_consolidation,joint,20000,36,14.08,684.33,C,C3,Jan-18,Fully Paid,whole,Cash,0,20382.12039,20000,382.12,0
beauty stylist,4,IN,MORTGAGE,70000,Not Verified,13.5,NA,,NA,0,NA,2005,0,8,6,57300,32079,0,0,NA,0,0,0,0,NA,6,0,0,5,54800,7,6,6,0,100,0,0,debt_consolidation,individual,30000,36,5.31,903.31,A,A1,Mar-18,Current,whole,DirectPay,27678.08,2709.93,2321.92,388.01,0
professor,10,CA,MORTGAGE,137000,Not Verified,14.16,NA,,NA,0,NA,1984,5,33,24,489700,99129,0,0,NA,0,0,1,7,0,24,0,0,10,96300,29,22,17,2,100,0,0,debt_consolidation,individual,40000,36,7.35,1241.5,A,A4,Jan-18,Current,whole,Cash,35977.23,4982.34,4022.77,959.57,0
vicepresident,10,CA,MORTGAGE,30000,Verified,3.76,NA,,NA,0,NA,2009,3,15,8,172525,4321,0,0,NA,0,0,0,6,1,8,0,0,1,7200,9,7,2,4,100,0,0,major_purchase,individual,10000,36,11.99,332.1,B,B5,Jan-18,Current,fractional,Cash,8815.65,1653.84,1184.35,469.49,0
service expert ,0,MD,RENT,50000,Source Verified,15.67,NA,,NA,0,NA,2014,2,9,7,57162,33499,0,0,NA,0,0,1,6,6,7,0,0,2,26500,7,6,3,0,100,0,0,debt_consolidation,individual,13000,36,7.34,403.43,A,A4,Mar-18,Current,whole,DirectPay,12024.3,1219.86,975.7,223.99,20.17
manager,1,PA,RENT,50000,Source Verified,18.19,NA,,NA,0,NA,2010,2,10,10,124442,118564,0,0,NA,0,0,4,3,5,10,0,0,4,20500,6,6,4,0,100,0,0,debt_consolidation,individual,15000,36,14.07,513.18,C,C3,Mar-18,Current,fractional,Cash,14321.44,1014.64,678.56,336.08,0
extruder,0,MN,RENT,50000,Source Verified,1.8,NA,,NA,0,56,2010,3,17,4,16846,12088,0,0,76,0,0,1,12,1,4,0,0,3,5200,10,3,3,0,93.3,0,0,vacation,individual,3000,36,21.45,113.72,D,D5,Feb-18,Current,whole,Cash,2753.1,451.3,246.9,204.4,0
auto damage appraiser,10,AL,MORTGAGE,76500,Verified,27.48,NA,,NA,0,NA,2004,3,30,10,195845,80848,0,0,NA,0,0,3,5,6,10,0,0,1,5800,12,5,5,4,100,0,0,debt_consolidation,individual,35000,60,20.39,934.9,D,D4,Mar-18,Current,whole,Cash,33961.99,2765.05,1038.01,1727.04,0
,NA,CA,RENT,25000,Source Verified,9.84,NA,,NA,0,NA,1974,1,7,1,6500,6420,0,0,NA,0,0,0,0,0,1,0,0,1,6500,6,1,1,0,100,0,0,debt_consolidation,individual,6900,36,17.09,246.32,D,D1,Jan-18,Current,fractional,DirectPay,6138.35,1218.5,761.65,456.85,0
administrative associate,10,CT,MORTGAGE,70000,Not Verified,11.06,NA,,NA,0,34,2003,2,31,17,181197,23181,0,1,34,0,0,2,3,7,17,0,0,6,22500,16,13,7,3,96.7,1,0,debt_consolidation,individual,12000,36,9.44,384.06,B,B1,Jan-18,Current,whole,Cash,10827.62,1529.95,1172.38,357.57,0
owner,5,CT,MORTGAGE,52000,Not Verified,17.75,NA,,NA,0,NA,2005,2,9,7,41537,16079,0,1,NA,0,613,1,2,6,7,0,0,4,12700,7,6,5,0,100,0,1,debt_consolidation,individual,6300,36,9.44,201.64,B,B1,Feb-18,Current,fractional,Cash,5684.46,803.26,615.54,187.72,0
registered nurse,10,AK,MORTGAGE,85000,Source Verified,26.03,NA,,NA,0,NA,2003,1,33,9,233448,68818,0,0,NA,0,0,3,4,9,9,0,0,4,41100,11,5,5,1,100,0,0,credit_card,individual,30000,36,7.97,939.68,A,A5,Feb-18,Fully Paid,whole,Cash,0,30007.63458,30000,7.63,0
accountant,2,MD,MORTGAGE,77000,Source Verified,12.23,NA,,NA,2,12,2007,0,19,9,264450,26926,1,0,12,0,0,1,3,13,9,0,0,3,20900,11,7,4,1,88.9,0,0,debt_consolidation,individual,24000,36,10.42,779.16,B,B3,Jan-18,Current,whole,DirectPay,21687.05,3102.75,2312.95,789.8,0
office manager,3,CT,MORTGAGE,24000,Verified,75.45,124000,Verified,31.67,0,41,1984,4,26,18,176888,54196,0,0,NA,0,105,2,4,11,18,0,0,4,31700,19,15,8,3,92,0,0,debt_consolidation,joint,32000,60,28.72,1010.3,F,F1,Mar-18,Current,whole,Cash,31249.01,2928.78,750.99,2177.79,0
associate ,3,NJ,RENT,55000,Source Verified,28.19,NA,,NA,0,NA,2014,1,11,6,80747,68425,0,0,NA,0,0,2,3,2,6,0,0,2,13800,6,4,2,0,100,0,0,credit_card,individual,12000,36,7.34,372.4,A,A4,Mar-18,Current,whole,DirectPay,11097.5,1112.31,902.5,209.81,0
transportation specialist,2,OK,MORTGAGE,33975,Verified,83.4,133060,Verified,22.18,1,20,1999,1,29,15,123279,80391,0,0,NA,0,0,2,1,2,15,0,0,8,72900,23,13,12,0,92.6,0,0,debt_consolidation,joint,40000,36,9.43,1280.01,B,B1,Mar-18,Current,whole,Cash,37080.14,3798.12,2919.86,878.26,0
sr programmer,10,MD,OWN,118000,Source Verified,14.22,NA,,NA,0,41,1994,2,29,9,89086,57467,0,0,41,0,0,3,5,8,9,0,0,3,26000,17,6,6,2,82.8,0,0,home_improvement,individual,15000,60,12.61,338.31,C,C1,Feb-18,Current,fractional,Cash,14452.23,1004.42,547.77,456.65,0
bus operator ,2,CO,RENT,33000,Source Verified,29.67,NA,,NA,1,18,2008,0,27,10,68845,32550,1,0,18,0,0,1,3,NA,10,0,0,1,8000,17,9,3,0,92.6,0,0,credit_card,individual,14000,60,14.08,326.34,C,C3,Feb-18,Current,whole,Cash,13340.21,1294.41,659.79,634.62,0
meat wrapper,10,MI,MORTGAGE,32248.24,Verified,24.71,NA,,NA,0,NA,1992,2,29,10,113286,24243,0,1,NA,0,0,1,5,10,10,0,0,4,18900,17,8,7,3,100,0,1,credit_card,individual,10000,60,16.02,243.29,C,C5,Jan-18,Current,whole,Cash,9551.96,990.67,448.04,542.63,0
registered nurse,3,NY,RENT,90000,Source Verified,3.92,NA,,NA,0,NA,2014,6,22,18,85911,17063,0,0,NA,0,0,1,17,1,18,0,0,9,68200,19,16,11,0,100,0,0,major_purchase,individual,30000,36,7.35,931.13,A,A4,Jan-18,Current,whole,Cash,26982.9,3724.52,3017.1,707.42,0
lineman,10,OH,MORTGAGE,125000,Verified,21.34,NA,,NA,3,20,2003,8,33,11,256890,76949,0,0,76,0,0,4,2,1,11,0,0,5,25900,11,5,5,3,84.4,0,0,debt_consolidation,individual,20000,36,20,743.28,D,D4,Jan-18,Current,fractional,Cash,17880.79,3694.18,2119.21,1574.97,0
human resources director,2,WA,MORTGAGE,63000,Not Verified,33.62,NA,,NA,0,NA,1986,3,21,14,378813,61472,0,1,NA,0,0,3,6,6,14,0,0,4,24200,9,9,5,4,100,0,1,debt_consolidation,individual,18875,36,14.07,645.75,C,C3,Feb-18,Current,whole,DirectPay,17147.14,2568.25,1727.86,840.39,0
lpn ,1,NY,OWN,45000,Source Verified,34.83,NA,,NA,0,NA,1999,3,24,15,99830,94068,0,1,NA,0,0,9,4,8,15,0,0,2,17500,6,6,4,0,100,0,1,credit_card,individual,2200,36,11.98,73.06,B,B5,Mar-18,Current,fractional,Cash,2045.17,217.72,154.83,62.89,0
owner,3,OH,MORTGAGE,140000,Not Verified,37.22,NA,,NA,0,NA,2002,0,78,34,412549,121863,0,0,NA,0,0,5,3,13,34,0,0,14,61700,34,27,21,4,100,0,0,car,individual,10000,36,14.08,342.17,C,C3,Jan-18,Current,whole,Cash,8849.12,1703.03,1150.88,552.15,0
marketing support specialist,5,OH,RENT,48222,Source Verified,12.22,118222,Not Verified,7.81,0,26,1999,0,15,9,46500,38826,0,0,NA,0,854,4,7,14,9,0,0,2,15600,9,5,4,0,80,0,0,credit_card,joint,18000,60,16.02,437.92,C,C5,Jan-18,Current,whole,Cash,16985.9,2157.56,1014.1,1143.46,0
register nurse,2,NC,RENT,65000,Not Verified,11.12,NA,,NA,0,27,2002,0,17,6,57074,17920,0,0,NA,0,0,1,1,NA,6,0,0,2,37000,14,5,2,2,81.3,0,0,credit_card,individual,20000,36,10.42,649.3,B,B3,Feb-18,Current,whole,Cash,18073.8,2585.62,1926.2,659.42,0
consultant,8,NY,RENT,70000,Source Verified,27.23,NA,,NA,0,NA,1988,0,12,9,98200,39632,0,0,NA,0,0,1,0,NA,9,0,0,5,78200,11,8,5,0,100,0,0,debt_consolidation,individual,15000,36,7.35,465.57,A,A4,Feb-18,Current,whole,Cash,13012.12,2333.74,1987.88,345.86,0
operator,3,ND,RENT,110000,Source Verified,2.69,NA,,NA,0,NA,2004,1,14,7,79104,8957,0,0,NA,0,0,0,7,10,7,0,0,5,74500,11,5,5,0,100,0,0,debt_consolidation,individual,30000,36,6.71,922.35,A,A3,Feb-18,Current,whole,Cash,27723.52,2755.87,2276.48,479.39,0
teacher ,2,TX,RENT,58000,Not Verified,20.5,NA,,NA,0,NA,2003,1,23,8,75570,40535,0,0,NA,0,0,2,5,6,8,0,0,1,22800,14,6,2,0,100,0,0,debt_consolidation,individual,4000,36,7.97,125.3,A,A5,Feb-18,Current,whole,Cash,3601.11,499.43,398.89,100.54,0
superviser,10,IN,MORTGAGE,107000,Not Verified,20.45,NA,,NA,0,41,1988,5,37,11,123603,93151,0,0,NA,0,0,2,7,8,11,0,0,4,23900,18,9,7,5,91.7,0,0,debt_consolidation,individual,8500,36,16.02,298.92,C,C5,Feb-18,Current,whole,Cash,7743.23,1176.77,756.77,420,0
graduate assistant,3,NM,RENT,37000,Source Verified,23.86,NA,,NA,0,NA,2007,0,20,18,86302,75053,0,2,NA,0,0,6,4,16,18,0,0,4,16900,13,12,6,0,100,2,0,credit_card,individual,10000,36,6.72,307.5,A,A3,Feb-18,Current,fractional,DirectPay,8985.52,1220.67,1014.48,206.19,0
service manager,2,VA,MORTGAGE,80000,Not Verified,10.85,NA,,NA,0,32,2012,4,9,9,31960,13169,0,1,NA,0,0,2,1,0,9,0,0,3,4800,7,7,6,0,66.7,0,1,debt_consolidation,individual,7000,36,13.58,237.82,C,C2,Mar-18,Current,whole,Cash,6681,465.08,319,146.08,0
tech ,10,MN,MORTGAGE,64000,Source Verified,25.67,NA,,NA,0,NA,2003,1,26,9,267894,43720,0,1,NA,0,0,2,8,12,9,0,0,3,22000,6,6,5,3,100,0,1,credit_card,individual,16000,60,28.72,505.15,F,F1,Jan-18,Current,whole,Cash,15358.96,2525.36,641.04,1884.32,0
